state,county,County_name,Civilian_labor_force_2019,Unemployed_2019,Unemployment_rate_2019,State_Abbr,less_than_high_school,high_school_diploma,some_college,bach_degree,CENSUS_2010_POP,ESTIMATES_BASE_2010,POP_ESTIMATE_2019,N_POP_CHG_2019,Births_2019,Deaths_2019,NATURAL_INC_2019,INTERNATIONAL_MIG_2019,DOMESTIC_MIG_2019,NET_MIG_2019,RESIDUAL_2019,GQ_ESTIMATES_2019,R_birth_2019,R_death_2019,R_NATURAL_INC_2019,R_INTERNATIONAL_MIG_2019,R_DOMESTIC_MIG_2019,R_NET_MIG_2019,cases,deaths
30,000,,533503,18583,200.4,MT,48608,208896,233893,222870,989415,989407,1068778,8113,11618,9870,1748,322,6024,6346,19,28943,591.275853008,562.229838742,29.046014268,12.215759926,-136.063087556,-123.847327642,33495,378
37,000,,5080443,196565,427.8,NC,869866,1780253,2132449,2099206,9535483,9535751,10488084,106469,119203,94312,24891,14184,67338,81522,56,280891,1027.020503042,1094.228118496,-67.207615456,57.049026780,471.534072601,528.583099386,276706,4405
46,000,,464003,15284,253.4,SD,46944,173262,185400,161477,814180,814198,884659,5961,11911,7337,4574,418,964,1382,5,34018,889.104377917,611.254627811,277.849750107,12.173778443,-304.154295534,-291.980517094,47324,437
10,000,,487265,18420,11.7,DE,67482,208557,176708,207232,897934,897937,973764,8285,10683,9454,1229,73,6961,7034,22,24895,32.939037532,30.584114148,2.354923385,0.218504733,32.804976397,33.02348113,25035,710
23,000,,692736,20978,53.9,ME,74426,308013,286179,299279,1328361,1328358,1344212,5155,12073,14335,-2262,852,6613,7465,-48,37206,138.665942189,183.157814066,-44.491871876,8.018568235,90.336339450,98.354907684,6711,147
53,000,,3914158,166445,221.4,WA,444721,1109016,1684945,1763261,6724540,6724540,7614893,91024,87950,58587,29363,24103,37476,61579,82,147820,417.208490473,363.382171288,53.826319185,46.394770263,327.710080007,374.104850269,113107,2466
16,000,,881897,25649,151,ID,102691,301860,391446,293269,1567582,1567657,1787065,36529,22220,13308,8912,167,27360,27527,90,30331,534.500560968,355.654702104,178.845858863,16.521531419,358.763301243,375.284832650,65272,631
13,000,,5110328,175011,620.8,GA,903914,1890132,1912385,2080116,9687653,9688729,10617423,106292,127873,86319,41554,15053,49680,64733,5,266840,1780.079990953,1651.352584432,128.727406521,94.523295751,646.184400875,740.707696612,371449,7786
56,000,,292260,10528,81.3,WY,27644,111899,145071,104677,563626,563775,578759,1158,6601,4971,1630,538,-1012,-474,2,14240,247.502073631,209.262765306,38.239308324,17.265228996,-83.387214243,-66.121985249,13723,87
12,000,,10336762,320693,233,FL,1769489,4231678,4402103,4283457,18801310,18804564,21477737,233420,221695,211692,10003,88678,133910,222588,829,429975,651.347881673,741.419342799,-90.071461129,92.923403174,547.138974556,640.062377813,805479,16788
54,000,,796971,39118,316.7,WV,174230,523536,332568,261750,1852994,1853018,1792147,-12144,17888,22567,-4679,-349,-7073,-7422,-43,46910,516.947957040,713.310558948,-196.362601916,-7.454786056,-286.583423995,-294.038210049,24883,457
26,000,,4937272,201446,411.8,MI,641536,1966809,2226818,1937052,9883640,9884116,9986857,2785,109472,95983,13489,13146,-23670,-10524,-180,223499,793.260128650,927.629442678,-134.369314029,42.636071738,47.365900847,90.001972579,195989,7696
20,000,,1486619,47055,312.4,KS,175719,492819,603061,623076,2853118,2853123,2913314,1955,35457,25230,10227,4104,-12357,-8253,-19,80546,1210.070012009,1080.369574732,129.700437277,90.532766483,-749.750668877,-659.217902382,86809,1026
